qCODE_SESSION|DESCRIPTION|DESCRIPTION_ACT|DESCRIPTION_NAT|NOM_COUR|LIEU_1|LIEU_2|ARRONDISSEMENT|ADRESSE|DATE_DEB|DATE_FIN|JOUR_SEMAINE|HEURE_DEBUT|HEURE_FIN
E2015|Camp de jour regulier|Camp de jour regulier|Camp specialise|Patro de Charlesbourg inc.|Patro de Charlesbourg|Patro de Charlesbourg|Arrondissement de Charlesbourg|7700, 3e Avenue Est, Quebec (QC) G1H 7J2 |2015-06-25|2015-08-07|Mercredi|09:00:00|16:00:00
E2015|Camp de jour regulier|Camp de jour regulier|Camp specialise|Patro de Charlesbourg inc.|Patro de Charlesbourg|Patro de Charlesbourg|Arrondissement de Charlesbourg|7700, 3e Avenue Est, Quebec (QC) G1H 7J2 |2015-06-25|2015-08-07|Vendredi|09:00:00|16:00:00
E2015|Camp de jour regulier|Camp de jour regulier|Camp specialise|Patro de Charlesbourg inc.|Patro de Charlesbourg|Patro de Charlesbourg|Arrondissement de Charlesbourg|7700, 3e Avenue Est, Quebec (QC) G1H 7J2 |2015-06-25|2015-08-07|Jeudi|09:00:00|16:00:00
E2015|Camp de jour regulier|Camp de jour regulier|Camp specialise|Patro de Charlesbourg inc.|Patro de Charlesbourg|Patro de Charlesbourg|Arrondissement de Charlesbourg|7700, 3e Avenue Est, Quebec (QC) G1H 7J2 |2015-06-25|2015-08-07|Lundi|09:00:00|16:00:00
P2015|Rampe de rouli-roulant - pratique libre|Rampe de rouli-roulant - pratique libre|Sports et de plein air|Loisirs Bourg-Royal inc. (Les)|Parc St-Viateur|Parc Saint-viateur|Arrondissement de Charlesbourg|705, rue Saint-Viateur, Quebec (QC) G2L 2R5 |2015-04-27|2015-08-30|Samedi|13:00:00|17:00:00
P2015|Hockey-balle (pratique libre)|Hockey-Balle (pratique libre)|Sports et de plein air|Loisirs Bourassa inc. (Les)|Parc de la Terrasse Bon-Air|Parc Terrasse Bon-Air|Arrondissement de Charlesbourg|1085, 60e Rue Est, Quebec (QC) G1H 2E3 |2015-05-04|2015-08-31|Samedi|09:00:00|23:00:00
P2015|Rampe rouli-roulant - pratique libre|Parc de rouli-roulant - pratique libre|Sports et de plein air|Loisirs Bourassa inc. (Les)|Parc de la Terrasse Bon-Air|Parc Terrasse Bon-Air|Arrondissement de Charlesbourg|1085, 60e Rue Est, Quebec (QC) G1H 2E3 |2015-05-04|2015-08-31|Dimanche|10:00:00|22:00:00
P2015|Basketball|Basketball|Sports et de plein air|Loisirs Du Jardin inc.|Parc St-Pierre|Parc Saint-Pierre|Arrondissement de Charlesbourg|5295, rue des Violettes, Quebec (QC) G1G 5L5 |2015-05-01|2015-08-31|Dimanche|10:00:00|23:00:00
P2015|Petanque|Petanque|Loisirs recreatifs|Loisirs Du Jardin inc.|Parc St-Pierre|Parc Saint-Pierre|Arrondissement de Charlesbourg|5295, rue des Violettes, Quebec (QC) G1G 5L5 |2015-05-01|2015-08-31|Jeudi|16:00:00|23:00:00
P2015|Rampes de rouli-roulant « skate parc »|Rampes de rouli-roulant|Sports et de plein air|Loisirs Du Jardin inc.|Parc St-Pierre|Parc Saint-Pierre|Arrondissement de Charlesbourg|5295, rue des Violettes, Quebec (QC) G1G 5L5 |2015-05-01|2015-08-31|Mardi|16:00:00|23:00:00
P2015|Petanque|Petanque|Loisirs recreatifs|Loisirs Du Jardin inc.|Parc Lyonnais|Parc Lyonnais|Arrondissement de Charlesbourg|1158, rue du Lyonnais, Quebec (QC) G1G 2G2 |2015-05-01|2015-08-31|Lundi|16:00:00|23:00:00
H2015|Instruments et chant de niveaux varies|Instruments et chant de niveaux varies|Arts de la scene|Jeunes musiciens du monde|Patro Laval|Patro Laval|Arrondissement de La Cite-Limoilou|145, rue Bigaouette, Quebec (QC) G1K 4L3 |2015-01-22|2015-05-28|Jeudi|16:15:00|20:00:00
H2015|Cirque du Monde|Cirque|Arts de la scene|Centre residentiel et communautaire Jacques-Cartier (CJC)|Centre recreatif Saint-Roch|CR St-Roch salle polyvalente 108|Arrondissement de La Cite-Limoilou|230, rue du Pont, Quebec (QC) G1K 6L5 |2015-01-12|2015-05-28|Mercredi|18:00:00|21:30:00
H2015|Bain libre - Pour adultes|Bain libre - Pour adultes|Activites aquatiques|DCLVC de La Cite-Limoilou|Piscine Wilfrid-Hamel|Piscine Wilfrid-Hamel|Arrondissement de La Cite-Limoilou|155, rue Bigaouette, Quebec (QC) G1K 4L5 |2015-01-03|2015-06-14|Vendredi|13:30:00|14:50:00
H2015|Bain libre - Pour adultes|Bain libre - Pour adultes|Activites aquatiques|DCLVC de La Cite-Limoilou|Piscine Wilfrid-Hamel|Piscine Wilfrid-Hamel|Arrondissement de La Cite-Limoilou|155, rue Bigaouette, Quebec (QC) G1K 4L5 |2015-01-03|2015-06-14|Mercredi|13:30:00|14:50:00
H2015|Bain libre - Pour tous|Bain libre - Pour tous|Activites aquatiques|DCLVC de La Cite-Limoilou|Piscine Wilfrid-Hamel|Piscine Wilfrid-Hamel|Arrondissement de La Cite-Limoilou|155, rue Bigaouette, Quebec (QC) G1K 4L5 |2015-01-03|2015-06-14|Lundi|18:30:00|19:50:00
H2015|Jeux interieurs|Jeux interieurs|Loisirs recreatifs|Loisirs Bourg-Royal inc. (Les)|Chalet Bourg-Royal|Chalet Bourg-Royal Grande salle|Arrondissement de Charlesbourg|1435, boulevard Louis-XIV, Quebec (QC) G2L 1M4 |2015-03-09|2015-05-17|Mercredi|18:00:00|20:00:00
H2015|Jeux interieurs|Jeux interieurs|Loisirs recreatifs|Loisirs Bourg-Royal inc. (Les)|Chalet Bourg-Royal|Chalet Bourg-Royal Grande salle|Arrondissement de Charlesbourg|1435, boulevard Louis-XIV, Quebec (QC) G2L 1M4 |2015-03-09|2015-05-17|Mardi|18:00:00|20:00:00
H2015|Competitif "D" et "C"  mixte|Volley-ball|Sports et de plein air|Ligue "Volleylite" de Beauport|Ecole secondaire Samuel-De Champlain|Palestre Samuel-De Champlain|Arrondissement de Beauport|2740, avenue Saint-David, Quebec (QC) G1E 4K7 |2015-01-14|2015-04-08|Mercredi|20:00:00|22:30:00
H2015|Volley-ball Competitif "B" mixte|Volley-ball|Sports et de plein air|Ligue "Volleylite" de Beauport|Ecole secondaire Samuel-De Champlain|Palestre Samuel-De Champlain|Arrondissement de Beauport|2740, avenue Saint-David, Quebec (QC) G1E 4K7 |2015-01-15|2015-04-09|Jeudi|20:00:00|22:00:00
H2015|Tennis intermediaire/avance|Tennis|Sports et de plein air|Club de tennis Beauport Est inc.|Ecole secondaire de la Seigneurie|Gymnase double Seigneurie|Arrondissement de Beauport|645, avenue du Cenacle, Quebec (QC) G1E 1B3 |2015-01-17|2015-04-04|Samedi|09:00:00|11:00:00
H2015|Bains libres - longueurs|Bains libres|Activites aquatiques|DCLVC de Beauport|Ecole secondaire de la Seigneurie|Piscine Seigneurie|Arrondissement de Beauport|645, avenue du Cenacle, Quebec (QC) G1E 1B3 |2015-01-03|2015-06-11|Jeudi|21:00:00|21:55:00
